ENSHGLG00000002435	4930453N24RIK
ENSHGLG00000001850	MAPRE2
ENSHGLG00000003726	DSG1A
ENSHGLG00000001946	2410004P03RIK
ENSHGLG00000004140	STEAP1
ENSHGLG00000016647	CYP51
ENSHGLG00000002576	ISY1
ENSHGLG00000000471	ZFP407
ENSHGLG00000014334	CEP70
ENSHGLG00000017249	MSL2
ENSHGLG00000016868	RYK
ENSHGLG00000017803	DAPK1
ENSHGLG00000014083	NPHP3
ENSHGLG00000016762	1300017J02RIK
ENSHGLG00000014975	ATG9A
ENSHGLG00000013131	RESP18
ENSHGLG00000016985	MARCH4
ENSHGLG00000007437	D630023F18RIK
ENSHGLG00000006766	IDH1
ENSHGLG00000004628	ACADL
ENSHGLG00000010322	E330009J07RIK
ENSHGLG00000010262	ZFP142
ENSHGLG00000008887	TAS2R138
ENSHGLG00000004889	SGOL1
ENSHGLG00000007634	SPAG16
ENSHGLG00000013030	RAB23
ENSHGLG00000018721	ZFP451
ENSHGLG00000019026	BEND7
ENSHGLG00000017243	CCNY
ENSHGLG00000017371	ZFP367
ENSHGLG00000016555	AAED1
ENSHGLG00000015659	METTL11B
ENSHGLG00000008231	ATP5E
ENSHGLG00000006167	WAC
ENSHGLG00000006920	CUL2
ENSHGLG00000013488	DAZL
ENSHGLG00000020348	HIST1H1A
ENSHGLG00000009343	SFMBT1
ENSHGLG00000004810	CDKAL1
ENSHGLG00000004690	FRS2
ENSHGLG00000018509	ZFP511
ENSHGLG00000000856	MDM2
ENSHGLG00000000765	LYZ1
ENSHGLG00000012156	TBC1D15
ENSHGLG00000016803	UTF1
ENSHGLG00000002930	1700021F05RIK
ENSHGLG00000002704	AIM1
ENSHGLG00000006760	HMGA2
ENSHGLG00000000645	TAAR2
ENSHGLG00000020186	TAAR8B
ENSHGLG00000018909	9930021J03RIK
ENSHGLG00000019539	RLN1
ENSHGLG00000021063	OLFR522
ENSHGLG00000020866	OLFR524
ENSHGLG00000020573	OLFR525
ENSHGLG00000020629	OLFR531
ENSHGLG00000018975	AK3
ENSHGLG00000015722	KDM4C
ENSHGLG00000007037	B230118H07RIK
ENSHGLG00000015768	SPTLC2
ENSHGLG00000011878	RBBP4
ENSHGLG00000011153	ZBTB8A
ENSHGLG00000003683	STAM2
ENSHGLG00000010433	AU040320
ENSHGLG00000013843	YARS
ENSHGLG00000012126	C77080
ENSHGLG00000017597	BTBD10
ENSHGLG00000010951	1110004F10RIK
ENSHGLG00000000762	IMPAD1
ENSHGLG00000004191	RNF2
ENSHGLG00000018727	TSEN15
ENSHGLG00000018157	1700025G04RIK
ENSHGLG00000015561	BC026585
ENSHGLG00000000179	PRMT9
ENSHGLG00000002037	ZFP827
ENSHGLG00000003716	AKP3
ENSHGLG00000007395	NAA15
ENSHGLG00000000725	ZFP330
ENSHGLG00000013004	5730409E04RIK
ENSHGLG00000019597	CTPS
ENSHGLG00000000557	MND1
ENSHGLG00000000627	D930015E06RIK
ENSHGLG00000018267	SNX13
ENSHGLG00000008724	PRMT3
ENSHGLG00000000363	UFM1
ENSHGLG00000021272	H2AL2A
ENSHGLG00000015416	OXR1
ENSHGLG00000005836	E2F5
ENSHGLG00000010003	CAR13
ENSHGLG00000016454	WWP1
ENSHGLG00000013820	XPNPEP1
ENSHGLG00000008038	CAR1
ENSHGLG00000005638	CAR2
ENSHGLG00000010308	TRIT1
ENSHGLG00000019323	ZCCHC17
ENSHGLG00000011166	ZFP362
ENSHGLG00000006021	PTPN12
ENSHGLG00000010334	CAR4
ENSHGLG00000006695	NRCAM
ENSHGLG00000020691	OLFR155
ENSHGLG00000020519	OLFR157
ENSHGLG00000002240	TWNK
ENSHGLG00000014769	NAPEPLD
ENSHGLG00000009040	YWHAZ
ENSHGLG00000002783	PPRC1
ENSHGLG00000009072	SYPL
ENSHGLG00000002793	CFAP58
ENSHGLG00000001698	MILR1
ENSHGLG00000001530	NEURL1A
ENSHGLG00000003034	USMG5
ENSHGLG00000016055	UROS
ENSHGLG00000002539	PCGF6
ENSHGLG00000009443	FAM104A
ENSHGLG00000011848	4833420G17RIK
ENSHGLG00000011618	TARSL2
ENSHGLG00000009440	NT5C3
ENSHGLG00000013695	CHSY1
ENSHGLG00000000839	PSMA4
ENSHGLG00000003099	KRT87
ENSHGLG00000014655	CELF6
ENSHGLG00000012860	HEXA
ENSHGLG00000014871	ARIH1
ENSHGLG00000005753	6030419C18RIK
ENSHGLG00000001413	KRT8
ENSHGLG00000010690	PDCD4
ENSHGLG00000015889	GPR132
ENSHGLG00000019365	RARG
ENSHGLG00000015043	EIF5
ENSHGLG00000001860	CHRNA5
ENSHGLG00000013390	SMNDC1
ENSHGLG00000001828	MRPS35
ENSHGLG00000016298	YY1
ENSHGLG00000004925	KRT90
ENSHGLG00000009428	SIVA1
ENSHGLG00000001612	ZFP385A
ENSHGLG00000010773	HSP90AA1
ENSHGLG00000018513	DNM1L
ENSHGLG00000008798	NDFIP2
ENSHGLG00000017277	BC022687
ENSHGLG00000007399	MRPL42
ENSHGLG00000011466	MCMBP
ENSHGLG00000005218	SYT10
ENSHGLG00000010452	ZFP652
ENSHGLG00000001620	ATF7
ENSHGLG00000010848	TMPO
ENSHGLG00000011377	HELLS
ENSHGLG00000012469	CAR10
ENSHGLG00000001976	ICK
ENSHGLG00000001709	4930430F08RIK
ENSHGLG00000000721	1700017N19RIK
ENSHGLG00000012440	SCPEP1
ENSHGLG00000009809	PLEKHA1
ENSHGLG00000019316	LACC1
ENSHGLG00000015201	NXPE5
ENSHGLG00000014241	1700001P01RIK
ENSHGLG00000002411	AP2B1
ENSHGLG00000006644	MAX
ENSHGLG00000002348	1700024G13RIK
ENSHGLG00000012982	PPM1A
ENSHGLG00000013645	UTP18
ENSHGLG00000010109	4930447C04RIK
ENSHGLG00000006984	GLUD1
ENSHGLG00000002733	3632451O06RIK
ENSHGLG00000009926	RAD51C
ENSHGLG00000007661	SEPT4
ENSHGLG00000000433	ZFP248
ENSHGLG00000020003	OLFR1054
ENSHGLG00000000456	OLFR212
ENSHGLG00000017424	GOSR1
ENSHGLG00000003054	2700049A03RIK
ENSHGLG00000021043	ZFP518A
ENSHGLG00000001028	CRLF3
ENSHGLG00000007169	WFDC21
ENSHGLG00000017729	2610507B11RIK
ENSHGLG00000009711	PRDX3
ENSHGLG00000018764	SUPT6
ENSHGLG00000011484	RPL23A
ENSHGLG00000010099	CYP2C29
ENSHGLG00000001456	1700011H14RIK
ENSHGLG00000003359	OTX2
ENSHGLG00000017559	IFT20
ENSHGLG00000003981	CNPY1
ENSHGLG00000008982	TCAF1
ENSHGLG00000001859	TMEM30A
ENSHGLG00000010248	9530077C05RIK
ENSHGLG00000001023	CTSL
ENSHGLG00000001692	EEF1A1
ENSHGLG00000007740	SEPT7
ENSHGLG00000021377	TAS2R135
ENSHGLG00000021257	OLFR237-PS1
ENSHGLG00000020632	OLFR449
ENSHGLG00000020363	OLFR453
ENSHGLG00000020620	TAS2R144
ENSHGLG00000007436	GPER1
ENSHGLG00000016718	C530008M17RIK
ENSHGLG00000018199	GM7271
ENSHGLG00000018937	FIP1L1
ENSHGLG00000008232	HOPX
ENSHGLG00000018686	RASL11B
ENSHGLG00000005766	OCIAD1
ENSHGLG00000013786	ZFP341
ENSHGLG00000015358	1110008F13RIK
ENSHGLG00000013588	MTERF3
ENSHGLG00000005146	CDK5RAP1
ENSHGLG00000004048	TNFRSF18
ENSHGLG00000005296	NCOA6
ENSHGLG00000008567	FAM92A
ENSHGLG00000006573	1110037F02RIK
ENSHGLG00000010093	SFTPA1
ENSHGLG00000015776	SLC35E2
ENSHGLG00000004242	9430015G10RIK
ENSHGLG00000018766	FAM213B
ENSHGLG00000007832	2610301B20RIK
ENSHGLG00000009504	TTI1
ENSHGLG00000015708	TMEM55A
ENSHGLG00000015679	NADK
ENSHGLG00000002264	LIAS
ENSHGLG00000014421	GUF1
ENSHGLG00000007624	METTL7A1
ENSHGLG00000016784	KLHL36
ENSHGLG00000009546	DRAM1
ENSHGLG00000018424	LARGE1
ENSHGLG00000015349	TRP73
ENSHGLG00000003615	FAM132A
ENSHGLG00000002081	4921524J17RIK
ENSHGLG00000003142	SIAH1A
ENSHGLG00000017039	TRPC1
ENSHGLG00000015345	CPTP
ENSHGLG00000017227	U2SURP
ENSHGLG00000012050	RASA2
ENSHGLG00000014087	PXYLP1
ENSHGLG00000015590	TJP2
ENSHGLG00000003421	AGPAT9
ENSHGLG00000013441	TFDP2
ENSHGLG00000008365	1700028P14RIK
ENSHGLG00000011427	1190007I07RIK
ENSHGLG00000000259	PCSK5
ENSHGLG00000006255	ACTR6
ENSHGLG00000000280	D030056L22RIK
ENSHGLG00000015860	1110059E24RIK
ENSHGLG00000009089	MAP2K2
ENSHGLG00000003381	1700030K09RIK
ENSHGLG00000010821	HDGFRP2
ENSHGLG00000019494	ILF3
ENSHGLG00000017690	URAH
ENSHGLG00000006703	DEF8
ENSHGLG00000011227	ZFP276
ENSHGLG00000018345	FDX1L
ENSHGLG00000000455	AGGF1
ENSHGLG00000010594	HNRNPU
ENSHGLG00000015063	4930427A07RIK
ENSHGLG00000008415	FUBP1
ENSHGLG00000017674	METTL2
ENSHGLG00000019435	VAMP4
ENSHGLG00000007750	SHC2
ENSHGLG00000009023	UOX
ENSHGLG00000005990	RABGGTB
ENSHGLG00000011161	RFWD2
ENSHGLG00000021248	TSSK1
ENSHGLG00000019690	OLFR130
ENSHGLG00000010578	ZFP414
ENSHGLG00000004957	UBE2D3
ENSHGLG00000006161	PRTN3
ENSHGLG00000003379	PPP2R5A
ENSHGLG00000008372	MICU2
ENSHGLG00000000715	MANEA
ENSHGLG00000000441	PNISR
ENSHGLG00000015198	PLK5
ENSHGLG00000014453	ZMYM2
ENSHGLG00000014589	DCUN1D1
ENSHGLG00000015434	NUPL1
ENSHGLG00000019355	FYTTD1
ENSHGLG00000018983	SPATA13
ENSHGLG00000006964	PPAN
ENSHGLG00000018950	A230050P20RIK
ENSHGLG00000010030	DEPDC1A
ENSHGLG00000016245	CCL25
ENSHGLG00000011298	RPS6KC1
ENSHGLG00000017596	ITGB3BP
ENSHGLG00000015176	UPF2
ENSHGLG00000006709	MCRS1
ENSHGLG00000004558	TMBIM6
ENSHGLG00000001325	ZCRB1
ENSHGLG00000007823	LIN9
ENSHGLG00000003620	RAP1GDS1
ENSHGLG00000013426	ACAD9
ENSHGLG00000002054	ZFP526
ENSHGLG00000019512	MARC1
ENSHGLG00000010333	ZFP280D
ENSHGLG00000010722	VWA9
ENSHGLG00000017862	TCF12
ENSHGLG00000020517	OLFR281
ENSHGLG00000000047	ADH6B
ENSHGLG00000018512	SLTM
ENSHGLG00000003979	ZFP180
ENSHGLG00000003367	ZFP729B
ENSHGLG00000008054	RPL4
ENSHGLG00000001604	XCL1
ENSHGLG00000002720	FCGR4
ENSHGLG00000009291	GM3854
ENSHGLG00000015225	ZFP583
ENSHGLG00000009364	PINLYP
ENSHGLG00000017930	TNFSF9
ENSHGLG00000002173	ZBTB44
ENSHGLG00000003338	LEFTY2
ENSHGLG00000015496	6330408A02RIK
ENSHGLG00000011476	CYP2B19
ENSHGLG00000009593	DCAF8
ENSHGLG00000003680	ZFP800
ENSHGLG00000011841	ZFP317
ENSHGLG00000007535	DCAF6
ENSHGLG00000014830	SIS
ENSHGLG00000000158	BCL2A1D
ENSHGLG00000010619	CFAP126
ENSHGLG00000011435	CST13
ENSHGLG00000006240	CCDC9
ENSHGLG00000006396	TAGLN2
ENSHGLG00000003011	BLZF1
ENSHGLG00000007232	MUM1
ENSHGLG00000010076	AKR1B8
ENSHGLG00000011596	1600002K03RIK
ENSHGLG00000010371	CFAP52
ENSHGLG00000001908	2310035C23RIK
ENSHGLG00000013192	UAP1
ENSHGLG00000014547	TUBGCP4
ENSHGLG00000009442	SLU7
ENSHGLG00000017589	ZFP541
ENSHGLG00000000106	MORF4L1
ENSHGLG00000001894	VPS4B
ENSHGLG00000009572	CST12
ENSHGLG00000017000	RPL7
ENSHGLG00000008501	CYTH2
ENSHGLG00000016158	RPL18
ENSHGLG00000013593	CAR11
ENSHGLG00000005115	GM4969
ENSHGLG00000012071	P2RX5
ENSHGLG00000005355	DMWD
ENSHGLG00000009845	ZFP426
ENSHGLG00000018691	TMEM256
ENSHGLG00000005362	ZFP26
ENSHGLG00000011278	NOP58
ENSHGLG00000004403	NR5A2
ENSHGLG00000011676	CREB1
ENSHGLG00000011746	OASL1
ENSHGLG00000011274	OASL2
ENSHGLG00000005076	ABCB1A
ENSHGLG00000014394	CCDC64
ENSHGLG00000017184	AA986860
ENSHGLG00000009106	MROH3
ENSHGLG00000004356	ZFP281
ENSHGLG00000000136	ANKRD34C
ENSHGLG00000009199	ADIPOR1
ENSHGLG00000015800	ZFP551
ENSHGLG00000017176	COX8B
ENSHGLG00000017970	GM9733
ENSHGLG00000009792	KDM2B
ENSHGLG00000018924	6820408C15RIK
ENSHGLG00000016286	OAS1G
ENSHGLG00000008129	REN1
ENSHGLG00000010529	CUX2
ENSHGLG00000017166	TUBB5
ENSHGLG00000002910	GM4881
ENSHGLG00000007391	ZDHHC11
ENSHGLG00000018662	CKMT1
ENSHGLG00000008949	ATP5D
ENSHGLG00000019273	HMHA1
ENSHGLG00000018427	ZCCHC6
ENSHGLG00000012806	TSR1
ENSHGLG00000013652	PI4K2A
ENSHGLG00000011160	PRKCI
ENSHGLG00000018788	2810428I15RIK
ENSHGLG00000014414	SEC62
ENSHGLG00000013155	CD70
ENSHGLG00000005777	KRT83
ENSHGLG00000018076	BOD1L
ENSHGLG00000003326	ZFP296
ENSHGLG00000002333	UBP1
ENSHGLG00000005056	TMEM80
ENSHGLG00000004033	PDCD6IP
ENSHGLG00000004227	ATP1A3
ENSHGLG00000011657	CSNK2B
ENSHGLG00000004206	PAPD5
ENSHGLG00000005828	CHIL1
ENSHGLG00000009544	RNMTL1
ENSHGLG00000011951	SUDS3
ENSHGLG00000015791	HNRNPDL
ENSHGLG00000007795	AKR1C6
ENSHGLG00000007674	ZFP423
ENSHGLG00000001798	ZFP532
ENSHGLG00000005762	CYLD
ENSHGLG00000014014	VMN1R86
ENSHGLG00000007902	1700007G11RIK
ENSHGLG00000021014	OLFR867
ENSHGLG00000017733	SEC31A
ENSHGLG00000004288	SALL1
ENSHGLG00000010143	PIGF
ENSHGLG00000008039	TTC7
ENSHGLG00000015392	FAM216A
ENSHGLG00000011803	TAOK3
ENSHGLG00000017843	C330007P06RIK
ENSHGLG00000013809	MTA3
ENSHGLG00000019582	UPF3B
ENSHGLG00000016262	TRAFD1
ENSHGLG00000013368	1700006E09RIK
ENSHGLG00000018357	LRRC48
ENSHGLG00000005191	SLC25A19
ENSHGLG00000009406	HN1
ENSHGLG00000019940	GM43337
ENSHGLG00000019569	RPL39
ENSHGLG00000012548	GCN1L1
ENSHGLG00000009707	NBR1
ENSHGLG00000008112	BC017643
ENSHGLG00000017273	PIGZ
ENSHGLG00000017074	HRASLS
ENSHGLG00000009325	MAPRE1
ENSHGLG00000015676	KNG1
ENSHGLG00000012998	ZFP251
ENSHGLG00000019151	FBXO45
ENSHGLG00000009858	ZFP7
ENSHGLG00000019009	MKL2
ENSHGLG00000016936	ZFP647
ENSHGLG00000005516	ZFP41
ENSHGLG00000005824	NRBP1
ENSHGLG00000013336	YWHAE
ENSHGLG00000016277	TRP63
ENSHGLG00000004794	WFDC15B
ENSHGLG00000019502	SMIM15
ENSHGLG00000011132	GM5737
ENSHGLG00000021201	OLFR429
ENSHGLG00000016281	1110034G24RIK
ENSHGLG00000010520	GSPT1
ENSHGLG00000011888	PPP1R2
ENSHGLG00000005308	STRA13
ENSHGLG00000006549	STK38L
ENSHGLG00000007099	PDE4D
ENSHGLG00000017290	MFI2
ENSHGLG00000025225	MUC20
ENSHGLG00000009170	ACTG1
ENSHGLG00000005754	WISP2
ENSHGLG00000012861	MXRA7
ENSHGLG00000008108	WFDC2
ENSHGLG00000019302	PLPP1
ENSHGLG00000013901	ZFP771
ENSHGLG00000006461	GPBP1
ENSHGLG00000006319	YTHDC1
ENSHGLG00000009463	TMPRSS11B
ENSHGLG00000012474	TNRC6A
ENSHGLG00000020239	ACTBL2
ENSHGLG00000005920	TMPRSS11G
ENSHGLG00000010818	CCDC136
ENSHGLG00000012652	2610020H08RIK
ENSHGLG00000012878	CLN3
ENSHGLG00000010140	AKR1B3
ENSHGLG00000014024	LHX2
ENSHGLG00000002042	DIRC2
ENSHGLG00000013283	SLC25A38
ENSHGLG00000010368	METTL9
ENSHGLG00000010759	OLFR652
ENSHGLG00000020630	OLFR651
ENSHGLG00000011959	OLFR59
ENSHGLG00000020720	OLFR398
ENSHGLG00000018339	SUPT5
ENSHGLG00000018140	IFI27
ENSHGLG00000016684	ORM1
ENSHGLG00000015652	SERPINA1A
ENSHGLG00000014225	TATDN2
ENSHGLG00000011576	SPATA22
ENSHGLG00000008957	SSU2
ENSHGLG00000015814	FXYD3
ENSHGLG00000002278	PDIA5
ENSHGLG00000003342	OLFR722
ENSHGLG00000001523	SH2D7
ENSHGLG00000009576	DEFB36
ENSHGLG00000016246	SMEK1
ENSHGLG00000014080	FBXW2
ENSHGLG00000009540	ZFP689
ENSHGLG00000014962	STRBP
ENSHGLG00000013553	FBRS
ENSHGLG00000009981	SRCAP
ENSHGLG00000012014	RC3H2
ENSHGLG00000020769	OLFR355
ENSHGLG00000020665	OLFR351
ENSHGLG00000002937	TMEM55B
ENSHGLG00000020543	OLFR366
ENSHGLG00000016499	BUB1B
ENSHGLG00000011836	OLFR1293-PS
ENSHGLG00000014251	DPF1
ENSHGLG00000016581	RAD51B
ENSHGLG00000009820	OLFR735
ENSHGLG00000011997	NMT2
ENSHGLG00000007909	PAPOLA
ENSHGLG00000016988	ATXN3
ENSHGLG00000011713	RDH11
ENSHGLG00000011609	DCAF5
ENSHGLG00000018293	CYB5R4
ENSHGLG00000004751	OSER1
ENSHGLG00000015654	ZBTB32
ENSHGLG00000008947	KATNBL1
ENSHGLG00000010684	CECR5
ENSHGLG00000016077	FOXN3
ENSHGLG00000018877	BID
ENSHGLG00000002791	UBE2CBP
ENSHGLG00000007916	SCG5
ENSHGLG00000018587	ARHGAP11A
ENSHGLG00000012149	MFSD7C
ENSHGLG00000009260	TTLL5
ENSHGLG00000014585	BC024139
ENSHGLG00000012075	ELMSAN1
ENSHGLG00000008562	ZFP410
ENSHGLG00000004350	DEFB41
ENSHGLG00000002573	CRISP2
ENSHGLG00000002451	OLFR750
ENSHGLG00000007214	MRPL18
ENSHGLG00000019998	OLFR730
ENSHGLG00000007321	LSM14A
ENSHGLG00000015058	GPI1
ENSHGLG00000013665	1600014C10RIK
ENSHGLG00000013080	BC017158
ENSHGLG00000014646	ZFP383
ENSHGLG00000014546	ZFP27
ENSHGLG00000017025	RCHY1
ENSHGLG00000012426	ZFP664
ENSHGLG00000011608	ZFP146
ENSHGLG00000009026	CAPNS1
ENSHGLG00000000122	RUVBL1
ENSHGLG00000010298	DNAIC2
ENSHGLG00000010954	PA2G4
ENSHGLG00000012465	FAM65A
ENSHGLG00000012459	TTF2
ENSHGLG00000019241	EIF2A
ENSHGLG00000012739	ZFP750
ENSHGLG00000016303	USP18
ENSHGLG00000006778	PYCRL
ENSHGLG00000002743	ERICH1
ENSHGLG00000011281	NEK9
ENSHGLG00000012311	GYG
ENSHGLG00000017752	NUMB
ENSHGLG00000001414	ATG14
ENSHGLG00000019062	HAS3
ENSHGLG00000016678	VPS4A
ENSHGLG00000014982	DMKN
ENSHGLG00000017345	2610028H24RIK
ENSHGLG00000017078	COG8
ENSHGLG00000005144	PGBD1
ENSHGLG00000000970	TNPO1
ENSHGLG00000019990	OLFR1395
ENSHGLG00000012723	RNF224
ENSHGLG00000002964	2310022A10RIK
ENSHGLG00000004792	UBE2D2A
ENSHGLG00000006931	ECSCR
ENSHGLG00000015608	TDRD12
ENSHGLG00000006933	FER
ENSHGLG00000014854	NREP
ENSHGLG00000016404	TIMELESS
ENSHGLG00000016123	D230025D16RIK
ENSHGLG00000017643	FAM13B
ENSHGLG00000009196	RAD18
ENSHGLG00000010398	GIN1
ENSHGLG00000014311	2210408I21RIK
ENSHGLG00000014642	ZFP507
ENSHGLG00000004826	SLCO6C1
ENSHGLG00000013749	ZFP536
ENSHGLG00000006982	CYP2G1
ENSHGLG00000017448	NUP54
ENSHGLG00000009729	PCDH1
ENSHGLG00000011036	D930020B18RIK
ENSHGLG00000001136	MIA2
ENSHGLG00000011875	ZFP148
ENSHGLG00000015983	SEPT11
ENSHGLG00000019079	FBXL8
ENSHGLG00000015949	CCNI
ENSHGLG00000001018	SMN1
ENSHGLG00000002246	NAIP1
ENSHGLG00000005356	BC024978
ENSHGLG00000011035	4931428F04RIK
ENSHGLG00000013831	ABCG2
ENSHGLG00000020531	OLFR418
ENSHGLG00000021284	OLFR433
ENSHGLG00000001029	ROPN1
ENSHGLG00000006040	ATP5B
ENSHGLG00000019076	OSGIN1
ENSHGLG00000009014	TIGD2
ENSHGLG00000001829	ZFP366
ENSHGLG00000007578	HERC6
ENSHGLG00000012100	FUK
ENSHGLG00000014294	CLEC18A
ENSHGLG00000003821	SHB
ENSHGLG00000010079	ZFP821
ENSHGLG00000000539	MMP13
ENSHGLG00000018835	FAM208B
ENSHGLG00000011510	ZFP612
ENSHGLG00000007729	CHMP5
ENSHGLG00000007078	CTNNA1
ENSHGLG00000017723	PRRT2
ENSHGLG00000021385	OLFR810
ENSHGLG00000015513	OLFR788
ENSHGLG00000004179	BIRC2
ENSHGLG00000000243	OLFR782
ENSHGLG00000017903	CEP57
ENSHGLG00000019941	OLFR827
ENSHGLG00000011726	ARL6IP4
ENSHGLG00000000196	CASP1
ENSHGLG00000009679	XPO6
ENSHGLG00000006836	CS
ENSHGLG00000018045	ANXA7
ENSHGLG00000017939	MIEF1
ENSHGLG00000014088	ZPR1
ENSHGLG00000015893	MTMR2
ENSHGLG00000019372	RPS24
ENSHGLG00000006805	HPRT
ENSHGLG00000008776	TMEM246
ENSHGLG00000011643	ZFP189
ENSHGLG00000020292	USP26
ENSHGLG00000001242	MELK
ENSHGLG00000007629	FGF13
