ENSMUSG00000059920.9	4930453N24RIK	ENSMUSG00000059920
ENSMUSG00000059371.4	OLFR427	ENSMUSG00000059371
ENSMUSG00000071047.5	CES1A	ENSMUSG00000071047
ENSMUSG00000027714.11	EXOSC9	ENSMUSG00000027714
ENSMUSG00000034211.14	MRPS17	ENSMUSG00000034211
ENSMUSG00000025538.15	SUMF2	ENSMUSG00000025538
ENSMUSG00000022019.15	TDRD3	ENSMUSG00000022019
ENSMUSG00000013033.16	ADGRL1	ENSMUSG00000013033
ENSMUSG00000005481.18	DDX39	ENSMUSG00000005481
ENSMUSG00000057672.16	PKN1	ENSMUSG00000057672
ENSMUSG00000046408.13	1700067K01RIK	ENSMUSG00000046408
ENSMUSG00000039234.11	SEC24D	ENSMUSG00000039234
ENSMUSG00000061126.4	CYP4F39	ENSMUSG00000061126
ENSMUSG00000078611.3	GM5901	ENSMUSG00000078611
ENSMUSG00000073920.4	OLFR661	ENSMUSG00000073920
ENSMUSG00000045013.7	OLFR711	ENSMUSG00000045013
ENSMUSG00000085795.8	ZFP703	ENSMUSG00000085795
ENSMUSG00000063672.7	NKX6-3	ENSMUSG00000063672
ENSMUSG00000005610.17	EIF4G2	ENSMUSG00000005610
ENSMUSG00000079614.3	SEH1L	ENSMUSG00000079614
ENSMUSG00000031488.14	RAB11FIP1	ENSMUSG00000031488
ENSMUSG00000061079.14	ZFP143	ENSMUSG00000061079
ENSMUSG00000031554.18	ADAM5	ENSMUSG00000031554
ENSMUSG00000050612.5	TXNDC2	ENSMUSG00000050612
ENSMUSG00000024530.7	SLMO1	ENSMUSG00000024530
ENSMUSG00000043945.4	ADAM6A	ENSMUSG00000043945
ENSMUSG00000043948.2	OLFR691	ENSMUSG00000043948
ENSMUSG00000073909.2	OLFR688	ENSMUSG00000073909
ENSMUSG00000048425.3	OLFR686	ENSMUSG00000048425
ENSMUSG00000047794.6	OLFR685	ENSMUSG00000047794
ENSMUSG00000047225.8	OLFR684	ENSMUSG00000047225
ENSMUSG00000044120.5	OLFR683	ENSMUSG00000044120
ENSMUSG00000073913.2	OLFR678	ENSMUSG00000073913
ENSMUSG00000073914.2	OLFR677	ENSMUSG00000073914
ENSMUSG00000044705.3	OLFR670	ENSMUSG00000044705
ENSMUSG00000073916.3	OLFR669	ENSMUSG00000073916
ENSMUSG00000073924.4	OLFR656	ENSMUSG00000073924
ENSMUSG00000051182.5	OLFR655	ENSMUSG00000051182
ENSMUSG00000008129.14	4930432K21RIK	ENSMUSG00000008129
ENSMUSG00000051200.3	OLFR513	ENSMUSG00000051200
ENSMUSG00000060503.6	OLFR715	ENSMUSG00000060503
ENSMUSG00000073897.4	OLFR17	ENSMUSG00000073897
ENSMUSG00000073898.3	OLFR713	ENSMUSG00000073898
ENSMUSG00000070417.5	OLFR2	ENSMUSG00000070417
ENSMUSG00000036647.4	OLFR6	ENSMUSG00000036647
ENSMUSG00000093884.2	OLFR239	ENSMUSG00000093884
ENSMUSG00000051190.8	OLFR1356	ENSMUSG00000051190
ENSMUSG00000058248.12	KCNH1	ENSMUSG00000058248
ENSMUSG00000026639.18	LAMB3	ENSMUSG00000026639
ENSMUSG00000016181.9	DIEXF	ENSMUSG00000016181
ENSMUSG00000021709.14	ERBIN	ENSMUSG00000021709
ENSMUSG00000022195.6	6030458C11RIK	ENSMUSG00000022195
ENSMUSG00000019997.11	CTGF	ENSMUSG00000019997
ENSMUSG00000019851.8	PERP	ENSMUSG00000019851
ENSMUSG00000062866.15	PHACTR2	ENSMUSG00000062866
ENSMUSG00000019814.4	LTV1	ENSMUSG00000019814
ENSMUSG00000050668.9	GPATCH11	ENSMUSG00000050668
ENSMUSG00000062691.10	CEBPZOS	ENSMUSG00000062691
ENSMUSG00000024068.6	SPAST	ENSMUSG00000024068
ENSMUSG00000023943.7	SULT1C1	ENSMUSG00000023943
ENSMUSG00000026984.4	IL1F6	ENSMUSG00000026984
ENSMUSG00000026051.8	1500015O10RIK	ENSMUSG00000026051
ENSMUSG00000010290.7	AI597479	ENSMUSG00000010290
ENSMUSG00000026985.1	IL1F8	ENSMUSG00000026985
ENSMUSG00000022359.9	WDYHV1	ENSMUSG00000022359
ENSMUSG00000062373.7	TMEM65	ENSMUSG00000062373
ENSMUSG00000050891.8	TATDN1	ENSMUSG00000050891
ENSMUSG00000022350.6	E430025E21RIK	ENSMUSG00000022350
ENSMUSG00000019917.9	SEPT10	ENSMUSG00000019917
ENSMUSG00000027397.14	SLC20A1	ENSMUSG00000027397
ENSMUSG00000089911.4	MFSD14A	ENSMUSG00000089911
ENSMUSG00000033342.13	PLPPR5	ENSMUSG00000033342
ENSMUSG00000026126.15	PTPN18	ENSMUSG00000026126
ENSMUSG00000072888.2	SAMT2	ENSMUSG00000072888
ENSMUSG00000026991.20	PKP4	ENSMUSG00000026991
ENSMUSG00000026827.12	GPD2	ENSMUSG00000026827
ENSMUSG00000027824.4	VMN2R1	ENSMUSG00000027824
ENSMUSG00000027787.14	NMD3	ENSMUSG00000027787
ENSMUSG00000032050.17	RDX	ENSMUSG00000032050
ENSMUSG00000034487.4	KDELC2	ENSMUSG00000034487
ENSMUSG00000048581.12	E130311K13RIK	ENSMUSG00000048581
ENSMUSG00000032047.5	ACAT1	ENSMUSG00000032047
ENSMUSG00000079559.4	GM684	ENSMUSG00000079559
ENSMUSG00000078307.3	AI593442	ENSMUSG00000078307
ENSMUSG00000063334.16	KRR1	ENSMUSG00000063334
ENSMUSG00000070577.5	GM572	ENSMUSG00000070577
ENSMUSG00000028621.17	CYB5RL	ENSMUSG00000028621
ENSMUSG00000040606.13	KAZN	ENSMUSG00000040606
ENSMUSG00000020189.13	OSBPL8	ENSMUSG00000020189
ENSMUSG00000019906.14	LIN7A	ENSMUSG00000019906
ENSMUSG00000028609.6	MAGOH	ENSMUSG00000028609
ENSMUSG00000030726.16	POLD3	ENSMUSG00000030726
ENSMUSG00000055407.14	MAP6	ENSMUSG00000055407
ENSMUSG00000028132.15	TMEM56	ENSMUSG00000028132
ENSMUSG00000020333.17	ACSL6	ENSMUSG00000020333
ENSMUSG00000037062.13	SH3GLB1	ENSMUSG00000037062
ENSMUSG00000020070.18	RUFY2	ENSMUSG00000020070
ENSMUSG00000018398.18	SEPT8	ENSMUSG00000018398
ENSMUSG00000020069.16	HNRNPH3	ENSMUSG00000020069
ENSMUSG00000020072.14	PBLD2	ENSMUSG00000020072
ENSMUSG00000029276.13	GLMN	ENSMUSG00000029276
ENSMUSG00000089798.9	1700028K03RIK	ENSMUSG00000089798
ENSMUSG00000029270.10	FAM69A	ENSMUSG00000029270
ENSMUSG00000058558.12	RPL5	ENSMUSG00000058558
ENSMUSG00000011831.16	EVI5	ENSMUSG00000011831
ENSMUSG00000040151.9	HS2ST1	ENSMUSG00000040151
ENSMUSG00000058163.14	GM5431	ENSMUSG00000058163
ENSMUSG00000020400.17	TNIP1	ENSMUSG00000020400
ENSMUSG00000039831.16	ARHGAP29	ENSMUSG00000039831
ENSMUSG00000029290.12	ZFP326	ENSMUSG00000029290
ENSMUSG00000105504.4	GBP5	ENSMUSG00000105504
ENSMUSG00000040264.10	GBP2B	ENSMUSG00000040264
ENSMUSG00000040213.13	KYAT3	ENSMUSG00000040213
ENSMUSG00000036873.13	2410004B18RIK	ENSMUSG00000036873
ENSMUSG00000049606.16	ZFP644	ENSMUSG00000049606
ENSMUSG00000007850.16	HNRNPH1	ENSMUSG00000007850
ENSMUSG00000018189.12	UCHL5	ENSMUSG00000018189
ENSMUSG00000029534.17	ST7	ENSMUSG00000029534
ENSMUSG00000010796.11	ASZ1	ENSMUSG00000010796
ENSMUSG00000051469.14	ZFP24	ENSMUSG00000051469
ENSMUSG00000054204.6	FAM150B	ENSMUSG00000054204
ENSMUSG00000024277.14	MAPRE2	ENSMUSG00000024277
ENSMUSG00000069441.3	DSG1A	ENSMUSG00000069441
ENSMUSG00000071398.8	2410004P03RIK	ENSMUSG00000071398
ENSMUSG00000015652.9	STEAP1	ENSMUSG00000015652
ENSMUSG00000001467.5	CYP51	ENSMUSG00000001467
ENSMUSG00000030056.8	ISY1	ENSMUSG00000030056
ENSMUSG00000048410.16	ZFP407	ENSMUSG00000048410
ENSMUSG00000056267.14	CEP70	ENSMUSG00000056267
ENSMUSG00000066415.4	MSL2	ENSMUSG00000066415
ENSMUSG00000032547.12	RYK	ENSMUSG00000032547
ENSMUSG00000021559.13	DAPK1	ENSMUSG00000021559
ENSMUSG00000032558.19	NPHP3	ENSMUSG00000032558
ENSMUSG00000033688.10	1300017J02RIK	ENSMUSG00000033688
ENSMUSG00000033124.15	ATG9A	ENSMUSG00000033124
ENSMUSG00000033061.15	RESP18	ENSMUSG00000033061
ENSMUSG00000039372.5	MARCH4	ENSMUSG00000039372
ENSMUSG00000044816.10	D630023F18RIK	ENSMUSG00000044816
ENSMUSG00000025950.16	IDH1	ENSMUSG00000025950
ENSMUSG00000026003.5	ACADL	ENSMUSG00000026003
ENSMUSG00000037172.14	E330009J07RIK	ENSMUSG00000037172
ENSMUSG00000026135.17	ZFP142	ENSMUSG00000026135
ENSMUSG00000058250.2	TAS2R138	ENSMUSG00000058250
ENSMUSG00000023940.14	SGOL1	ENSMUSG00000023940
ENSMUSG00000053153.14	SPAG16	ENSMUSG00000053153
ENSMUSG00000004768.14	RAB23	ENSMUSG00000004768
ENSMUSG00000042197.13	ZFP451	ENSMUSG00000042197
ENSMUSG00000048186.14	BEND7	ENSMUSG00000048186
ENSMUSG00000024286.7	CCNY	ENSMUSG00000024286
ENSMUSG00000044934.12	ZFP367	ENSMUSG00000044934
ENSMUSG00000021482.9	AAED1	ENSMUSG00000021482
ENSMUSG00000040113.14	METTL11B	ENSMUSG00000040113
ENSMUSG00000016252.7	ATP5E	ENSMUSG00000016252
ENSMUSG00000024283.14	WAC	ENSMUSG00000024283
ENSMUSG00000024231.14	CUL2	ENSMUSG00000024231
ENSMUSG00000010592.8	DAZL	ENSMUSG00000010592
ENSMUSG00000049539.2	HIST1H1A	ENSMUSG00000049539
ENSMUSG00000006527.14	SFMBT1	ENSMUSG00000006527
ENSMUSG00000006191.17	CDKAL1	ENSMUSG00000006191
ENSMUSG00000020170.3	FRS2	ENSMUSG00000020170
ENSMUSG00000025470.11	ZFP511	ENSMUSG00000025470
ENSMUSG00000020184.14	MDM2	ENSMUSG00000020184
ENSMUSG00000069515.5	LYZ1	ENSMUSG00000069515
ENSMUSG00000020130.8	TBC1D15	ENSMUSG00000020130
ENSMUSG00000047751.9	UTF1	ENSMUSG00000047751
ENSMUSG00000019797.11	1700021F05RIK	ENSMUSG00000019797
ENSMUSG00000019866.14	AIM1	ENSMUSG00000019866
ENSMUSG00000056758.14	HMGA2	ENSMUSG00000056758
ENSMUSG00000059763.4	TAAR2	ENSMUSG00000059763
ENSMUSG00000100186.1	TAAR8B	ENSMUSG00000100186
ENSMUSG00000046138.14	9930021J03RIK	ENSMUSG00000046138
ENSMUSG00000039097.5	RLN1	ENSMUSG00000039097
ENSMUSG00000051180.7	OLFR522	ENSMUSG00000051180
ENSMUSG00000050366.6	OLFR524	ENSMUSG00000050366
ENSMUSG00000061489.3	OLFR525	ENSMUSG00000061489
ENSMUSG00000062712.3	OLFR531	ENSMUSG00000062712
ENSMUSG00000024782.7	AK3	ENSMUSG00000024782
ENSMUSG00000028397.13	KDM4C	ENSMUSG00000028397
ENSMUSG00000027165.16	B230118H07RIK	ENSMUSG00000027165
ENSMUSG00000021036.10	SPTLC2	ENSMUSG00000021036
ENSMUSG00000057236.10	RBBP4	ENSMUSG00000057236
ENSMUSG00000028807.2	ZBTB8A	ENSMUSG00000028807
ENSMUSG00000055371.17	STAM2	ENSMUSG00000055371
ENSMUSG00000028830.14	AU040320	ENSMUSG00000028830
ENSMUSG00000028811.11	YARS	ENSMUSG00000028811
ENSMUSG00000050390.12	C77080	ENSMUSG00000050390
ENSMUSG00000038187.14	BTBD10	ENSMUSG00000038187
ENSMUSG00000030663.12	1110004F10RIK	ENSMUSG00000030663
ENSMUSG00000066324.2	IMPAD1	ENSMUSG00000066324
ENSMUSG00000026484.13	RNF2	ENSMUSG00000026484
ENSMUSG00000014980.14	TSEN15	ENSMUSG00000014980
ENSMUSG00000032666.16	1700025G04RIK	ENSMUSG00000032666
ENSMUSG00000033488.11	BC026585	ENSMUSG00000033488
ENSMUSG00000037134.17	PRMT9	ENSMUSG00000037134
ENSMUSG00000071064.13	ZFP827	ENSMUSG00000071064
ENSMUSG00000036500.4	AKP3	ENSMUSG00000036500
ENSMUSG00000063273.11	NAA15	ENSMUSG00000063273
ENSMUSG00000031711.7	ZFP330	ENSMUSG00000031711
ENSMUSG00000073755.4	5730409E04RIK	ENSMUSG00000073755
ENSMUSG00000028633.7	CTPS	ENSMUSG00000028633
ENSMUSG00000033752.7	MND1	ENSMUSG00000033752
ENSMUSG00000033767.14	D930015E06RIK	ENSMUSG00000033767
ENSMUSG00000020590.15	SNX13	ENSMUSG00000020590
ENSMUSG00000030505.17	PRMT3	ENSMUSG00000030505
ENSMUSG00000027746.13	UFM1	ENSMUSG00000027746
ENSMUSG00000062651.4	H2AL2A	ENSMUSG00000062651
ENSMUSG00000022307.15	OXR1	ENSMUSG00000022307
ENSMUSG00000027552.14	E2F5	ENSMUSG00000027552
ENSMUSG00000027555.8	CAR13	ENSMUSG00000027555
ENSMUSG00000041058.15	WWP1	ENSMUSG00000041058
ENSMUSG00000025027.17	XPNPEP1	ENSMUSG00000025027
ENSMUSG00000027556.15	CAR1	ENSMUSG00000027556
ENSMUSG00000027562.12	CAR2	ENSMUSG00000027562
ENSMUSG00000028653.16	TRIT1	ENSMUSG00000028653
ENSMUSG00000028772.19	ZCCHC17	ENSMUSG00000028772
ENSMUSG00000028799.15	ZFP362	ENSMUSG00000028799
ENSMUSG00000028771.13	PTPN12	ENSMUSG00000028771
ENSMUSG00000000805.18	CAR4	ENSMUSG00000000805
ENSMUSG00000020598.15	NRCAM	ENSMUSG00000020598
ENSMUSG00000071000.3	OLFR155	ENSMUSG00000071000
ENSMUSG00000111611.1	OLFR157	ENSMUSG00000111611
ENSMUSG00000025209.4	TWNK	ENSMUSG00000025209
ENSMUSG00000044968.16	NAPEPLD	ENSMUSG00000044968
ENSMUSG00000022285.16	YWHAZ	ENSMUSG00000022285
ENSMUSG00000055491.13	PPRC1	ENSMUSG00000055491
ENSMUSG00000020570.14	SYPL	ENSMUSG00000020570
ENSMUSG00000046585.8	CFAP58	ENSMUSG00000046585
ENSMUSG00000040528.15	MILR1	ENSMUSG00000040528
ENSMUSG00000006435.15	NEURL1A	ENSMUSG00000006435
ENSMUSG00000071528.3	USMG5	ENSMUSG00000071528
ENSMUSG00000030979.13	UROS	ENSMUSG00000030979
ENSMUSG00000025050.7	PCGF6	ENSMUSG00000025050
ENSMUSG00000041629.7	FAM104A	ENSMUSG00000041629
ENSMUSG00000062822.7	4833420G17RIK	ENSMUSG00000062822
ENSMUSG00000030515.9	TARSL2	ENSMUSG00000030515
ENSMUSG00000029780.14	NT5C3	ENSMUSG00000029780
ENSMUSG00000032640.10	CHSY1	ENSMUSG00000032640
ENSMUSG00000032301.13	PSMA4	ENSMUSG00000032301
ENSMUSG00000047641.7	KRT87	ENSMUSG00000047641
ENSMUSG00000032297.11	CELF6	ENSMUSG00000032297
ENSMUSG00000025232.8	HEXA	ENSMUSG00000025232
ENSMUSG00000025234.11	ARIH1	ENSMUSG00000025234
ENSMUSG00000066607.5	6030419C18RIK	ENSMUSG00000066607
ENSMUSG00000049382.9	KRT8	ENSMUSG00000049382
ENSMUSG00000024975.12	PDCD4	ENSMUSG00000024975
ENSMUSG00000021298.7	GPR132	ENSMUSG00000021298
ENSMUSG00000001288.14	RARG	ENSMUSG00000001288
ENSMUSG00000021282.16	EIF5	ENSMUSG00000021282
ENSMUSG00000035594.10	CHRNA5	ENSMUSG00000035594
ENSMUSG00000025024.6	SMNDC1	ENSMUSG00000025024
ENSMUSG00000040112.9	MRPS35	ENSMUSG00000040112
ENSMUSG00000021264.11	YY1	ENSMUSG00000021264
ENSMUSG00000048699.4	KRT90	ENSMUSG00000048699
ENSMUSG00000064326.12	SIVA1	ENSMUSG00000064326
ENSMUSG00000000552.9	ZFP385A	ENSMUSG00000000552
ENSMUSG00000021270.13	HSP90AA1	ENSMUSG00000021270
ENSMUSG00000022789.14	DNM1L	ENSMUSG00000022789
ENSMUSG00000053253.16	NDFIP2	ENSMUSG00000053253
ENSMUSG00000037594.10	BC022687	ENSMUSG00000037594
ENSMUSG00000062981.4	MRPL42	ENSMUSG00000062981
ENSMUSG00000048170.14	MCMBP	ENSMUSG00000048170
ENSMUSG00000063260.2	SYT10	ENSMUSG00000063260
ENSMUSG00000075595.9	ZFP652	ENSMUSG00000075595
ENSMUSG00000099083.7	ATF7	ENSMUSG00000099083
ENSMUSG00000019961.17	TMPO	ENSMUSG00000019961
ENSMUSG00000025001.11	HELLS	ENSMUSG00000025001
ENSMUSG00000056158.14	CAR10	ENSMUSG00000056158
ENSMUSG00000009828.15	ICK	ENSMUSG00000009828
ENSMUSG00000046567.9	4930430F08RIK	ENSMUSG00000046567
ENSMUSG00000056912.11	1700017N19RIK	ENSMUSG00000056912
ENSMUSG00000000278.10	SCPEP1	ENSMUSG00000000278
ENSMUSG00000040268.17	PLEKHA1	ENSMUSG00000040268
ENSMUSG00000044350.14	LACC1	ENSMUSG00000044350
ENSMUSG00000047592.17	NXPE5	ENSMUSG00000047592
ENSMUSG00000018543.8	1700001P01RIK	ENSMUSG00000018543
ENSMUSG00000035152.14	AP2B1	ENSMUSG00000035152
ENSMUSG00000059436.12	MAX	ENSMUSG00000059436
ENSMUSG00000072473.3	1700024G13RIK	ENSMUSG00000072473
ENSMUSG00000021096.10	PPM1A	ENSMUSG00000021096
ENSMUSG00000054079.12	UTP18	ENSMUSG00000054079
ENSMUSG00000021098.14	4930447C04RIK	ENSMUSG00000021098
ENSMUSG00000021794.15	GLUD1	ENSMUSG00000021794
ENSMUSG00000036242.14	3632451O06RIK	ENSMUSG00000036242
ENSMUSG00000007646.13	RAD51C	ENSMUSG00000007646
ENSMUSG00000020486.18	SEPT4	ENSMUSG00000020486
ENSMUSG00000030145.14	ZFP248	ENSMUSG00000030145
ENSMUSG00000075190.2	OLFR1054	ENSMUSG00000075190
ENSMUSG00000053251.5	OLFR212	ENSMUSG00000053251
ENSMUSG00000010392.8	GOSR1	ENSMUSG00000010392
ENSMUSG00000034601.16	2700049A03RIK	ENSMUSG00000034601
ENSMUSG00000049164.6	ZFP518A	ENSMUSG00000049164
ENSMUSG00000017561.16	CRLF3	ENSMUSG00000017561
ENSMUSG00000051748.2	WFDC21	ENSMUSG00000051748
ENSMUSG00000010277.7	2610507B11RIK	ENSMUSG00000010277
ENSMUSG00000024997.7	PRDX3	ENSMUSG00000024997
ENSMUSG00000002052.6	SUPT6	ENSMUSG00000002052
ENSMUSG00000058546.8	RPL23A	ENSMUSG00000058546
ENSMUSG00000003053.17	CYP2C29	ENSMUSG00000003053
ENSMUSG00000021850.13	1700011H14RIK	ENSMUSG00000021850
ENSMUSG00000021848.15	OTX2	ENSMUSG00000021848
ENSMUSG00000001105.15	IFT20	ENSMUSG00000001105
ENSMUSG00000044681.19	CNPY1	ENSMUSG00000044681
ENSMUSG00000036667.14	TCAF1	ENSMUSG00000036667
ENSMUSG00000032328.12	TMEM30A	ENSMUSG00000032328
ENSMUSG00000036411.10	9530077C05RIK	ENSMUSG00000036411
ENSMUSG00000021477.8	CTSL	ENSMUSG00000021477
ENSMUSG00000037742.14	EEF1A1	ENSMUSG00000037742
ENSMUSG00000001833.17	SEPT7	ENSMUSG00000001833
ENSMUSG00000056203.4	TAS2R135	ENSMUSG00000056203
ENSMUSG00000094200.2	OLFR237-PS1	ENSMUSG00000094200
ENSMUSG00000049168.8	OLFR449	ENSMUSG00000049168
ENSMUSG00000095831.2	OLFR453	ENSMUSG00000095831
ENSMUSG00000051917.3	TAS2R144	ENSMUSG00000051917
ENSMUSG00000053647.4	GPER1	ENSMUSG00000053647
ENSMUSG00000036377.18	C530008M17RIK	ENSMUSG00000036377
ENSMUSG00000091204.8	GM7271	ENSMUSG00000091204
ENSMUSG00000029227.15	FIP1L1	ENSMUSG00000029227
ENSMUSG00000059325.14	HOPX	ENSMUSG00000059325
ENSMUSG00000049907.8	RASL11B	ENSMUSG00000049907
ENSMUSG00000029152.13	OCIAD1	ENSMUSG00000029152
ENSMUSG00000059842.12	ZFP341	ENSMUSG00000059842
ENSMUSG00000027637.3	1110008F13RIK	ENSMUSG00000027637
ENSMUSG00000021519.10	MTERF3	ENSMUSG00000021519
ENSMUSG00000027487.11	CDK5RAP1	ENSMUSG00000027487
ENSMUSG00000041954.18	TNFRSF18	ENSMUSG00000041954
ENSMUSG00000038369.14	NCOA6	ENSMUSG00000038369
ENSMUSG00000028218.19	FAM92A	ENSMUSG00000028218
ENSMUSG00000040720.15	1110037F02RIK	ENSMUSG00000040720
ENSMUSG00000021789.14	SFTPA1	ENSMUSG00000021789
ENSMUSG00000042202.15	SLC35E2	ENSMUSG00000042202
ENSMUSG00000059939.13	9430015G10RIK	ENSMUSG00000059939
ENSMUSG00000029059.9	FAM213B	ENSMUSG00000029059
ENSMUSG00000059482.15	2610301B20RIK	ENSMUSG00000059482
ENSMUSG00000027650.12	TTI1	ENSMUSG00000027650
ENSMUSG00000028221.3	TMEM55A	ENSMUSG00000028221
ENSMUSG00000029063.16	NADK	ENSMUSG00000029063
ENSMUSG00000029199.11	LIAS	ENSMUSG00000029199
ENSMUSG00000029208.16	GUF1	ENSMUSG00000029208
ENSMUSG00000054619.6	METTL7A1	ENSMUSG00000054619
ENSMUSG00000031828.9	KLHL36	ENSMUSG00000031828
ENSMUSG00000020057.2	DRAM1	ENSMUSG00000020057
ENSMUSG00000004383.18	LARGE1	ENSMUSG00000004383
ENSMUSG00000029026.16	TRP73	ENSMUSG00000029026
ENSMUSG00000023571.4	FAM132A	ENSMUSG00000023571
ENSMUSG00000036934.9	4921524J17RIK	ENSMUSG00000036934
ENSMUSG00000036840.5	SIAH1A	ENSMUSG00000036840
ENSMUSG00000032839.13	TRPC1	ENSMUSG00000032839
ENSMUSG00000029073.9	CPTP	ENSMUSG00000029073
ENSMUSG00000032407.14	U2SURP	ENSMUSG00000032407
ENSMUSG00000032413.12	RASA2	ENSMUSG00000032413
ENSMUSG00000043587.15	PXYLP1	ENSMUSG00000043587
ENSMUSG00000024812.9	TJP2	ENSMUSG00000024812
ENSMUSG00000029314.14	AGPAT9	ENSMUSG00000029314
ENSMUSG00000032411.15	TFDP2	ENSMUSG00000032411
ENSMUSG00000033053.3	1700028P14RIK	ENSMUSG00000033053
ENSMUSG00000063320.11	1190007I07RIK	ENSMUSG00000063320
ENSMUSG00000024713.15	PCSK5	ENSMUSG00000024713
ENSMUSG00000019948.3	ACTR6	ENSMUSG00000019948
ENSMUSG00000047044.7	D030056L22RIK	ENSMUSG00000047044
ENSMUSG00000035171.9	1110059E24RIK	ENSMUSG00000035171
ENSMUSG00000035027.17	MAP2K2	ENSMUSG00000035027
ENSMUSG00000052794.13	1700030K09RIK	ENSMUSG00000052794
ENSMUSG00000002833.10	HDGFRP2	ENSMUSG00000002833
ENSMUSG00000032178.14	ILF3	ENSMUSG00000032178
ENSMUSG00000025481.12	URAH	ENSMUSG00000025481
ENSMUSG00000001482.15	DEF8	ENSMUSG00000001482
ENSMUSG00000001065.15	ZFP276	ENSMUSG00000001065
ENSMUSG00000079677.2	FDX1L	ENSMUSG00000079677
ENSMUSG00000021681.8	AGGF1	ENSMUSG00000021681
ENSMUSG00000039630.10	HNRNPU	ENSMUSG00000039630
ENSMUSG00000037466.13	4930427A07RIK	ENSMUSG00000037466
ENSMUSG00000028034.15	FUBP1	ENSMUSG00000028034
ENSMUSG00000020691.13	METTL2	ENSMUSG00000020691
ENSMUSG00000026696.15	VAMP4	ENSMUSG00000026696
ENSMUSG00000020312.11	SHC2	ENSMUSG00000020312
ENSMUSG00000028186.14	UOX	ENSMUSG00000028186
ENSMUSG00000038975.14	RABGGTB	ENSMUSG00000038975
ENSMUSG00000040782.12	RFWD2	ENSMUSG00000040782
ENSMUSG00000041566.3	TSSK1	ENSMUSG00000041566
ENSMUSG00000094878.2	OLFR130	ENSMUSG00000094878
ENSMUSG00000073423.9	ZFP414	ENSMUSG00000073423
ENSMUSG00000078578.9	UBE2D3	ENSMUSG00000078578
ENSMUSG00000057729.12	PRTN3	ENSMUSG00000057729
ENSMUSG00000026626.11	PPP2R5A	ENSMUSG00000026626
ENSMUSG00000021973.8	MICU2	ENSMUSG00000021973
ENSMUSG00000040520.7	MANEA	ENSMUSG00000040520
ENSMUSG00000028248.15	PNISR	ENSMUSG00000028248
ENSMUSG00000035486.14	PLK5	ENSMUSG00000035486
ENSMUSG00000021945.8	ZMYM2	ENSMUSG00000021945
ENSMUSG00000027708.14	DCUN1D1	ENSMUSG00000027708
ENSMUSG00000063895.6	NUPL1	ENSMUSG00000063895
ENSMUSG00000022800.13	FYTTD1	ENSMUSG00000022800
ENSMUSG00000021990.15	SPATA13	ENSMUSG00000021990
ENSMUSG00000004100.12	PPAN	ENSMUSG00000004100
ENSMUSG00000038884.14	A230050P20RIK	ENSMUSG00000038884
ENSMUSG00000028175.15	DEPDC1A	ENSMUSG00000028175
ENSMUSG00000023235.14	CCL25	ENSMUSG00000023235
ENSMUSG00000089872.10	RPS6KC1	ENSMUSG00000089872
